Account List,,,,
Sandbox Company_US_1,,,,

Full name,Type,Detail type,Description,Total balance
Accounts Payable (A/P),Accounts payable (A/P),Accounts Payable (A/P),,"-1,602.67"
Accounts Receivable (A/R),Accounts receivable (A/R),Accounts Receivable (A/R),,"5,281.52"
Checking,Bank,Checking,,"1,201.00"
Savings,Bank,Savings,,800.00
Cost of Goods Sold,Cost of Goods Sold,Supplies & Materials - COGS,,
Mastercard,Credit Card,Credit Card,,-157.72
Visa,Credit Card,Credit Card,,
Opening Balance Equity,Equity,Opening Balance Equity,,"9,337.50"
Retained Earnings,Equity,Retained Earnings,,
Advertising,Expenses,Advertising/Promotional,,
Automobile,Expenses,Auto,,
Automobile:Fuel,Expenses,Auto,,
Bank Charges,Expenses,Bank Charges,,
Commissions & fees,Expenses,Other Miscellaneous Service Cost,,
Disposal Fees,Expenses,Other Miscellaneous Service Cost,,
Dues & Subscriptions,Expenses,Dues & subscriptions,,
Equipment Rental,Expenses,Equipment Rental,,
Insurance,Expenses,Insurance,,
Insurance:Workers Compensation,Expenses,Insurance,,
Job Expenses,Expenses,Other Miscellaneous Service Cost,,
Job Expenses:Cost of Labor,Expenses,Other Miscellaneous Service Cost,,
Job Expenses:Cost of Labor:Installation,Expenses,Other Miscellaneous Service Cost,,
Job Expenses:Cost of Labor:Maintenance and Repairs,Expenses,Other Miscellaneous Service Cost,,
Job Expenses:Equipment Rental,Expenses,Equipment Rental,,
Job Expenses:Job Materials,Expenses,Supplies & Materials,,
Job Expenses:Job Materials:Decks and Patios,Expenses,Supplies & Materials,,
Job Expenses:Job Materials:Fountain and Garden Lighting,Expenses,Supplies & Materials,,
Job Expenses:Job Materials:Plants and Soil,Expenses,Supplies & Materials,,
Job Expenses:Job Materials:Sprinklers and Drip Systems,Expenses,Supplies & Materials,,
Job Expenses:Permits,Expenses,Other Miscellaneous Service Cost,,
Legal & Professional Fees,Expenses,Legal & Professional Fees,,
Legal & Professional Fees:Accounting,Expenses,Legal & Professional Fees,,
Legal & Professional Fees:Bookkeeper,Expenses,Legal & Professional Fees,,
Legal & Professional Fees:Lawyer,Expenses,Legal & Professional Fees,,
Maintenance and Repair,Expenses,Repair & Maintenance,,
Maintenance and Repair:Building Repairs,Expenses,Repair & Maintenance,,
Maintenance and Repair:Computer Repairs,Expenses,Repair & Maintenance,,
Maintenance and Repair:Equipment Repairs,Expenses,Repair & Maintenance,,
Meals and Entertainment,Expenses,Entertainment Meals,,
Office Expenses,Expenses,Office/General Administrative Expenses,,
Promotional,Expenses,Advertising/Promotional,,
Purchases,Expenses,Supplies & Materials,,
Rent or Lease,Expenses,Rent or Lease of Buildings,,
Stationery & Printing,Expenses,Office/General Administrative Expenses,,
Supplies,Expenses,Supplies & Materials,,
Taxes & Licenses,Expenses,Taxes Paid,,
Travel,Expenses,Travel,,
Travel Meals,Expenses,Travel Meals,,
Unapplied Cash Bill Payment Expense,Expenses,Unapplied Cash Bill Payment Expense,,
Uncategorized Expense,Expenses,Other Miscellaneous Service Cost,,
Utilities,Expenses,Utilities,,
Utilities:Gas and Electric,Expenses,Utilities,,
Utilities:Telephone,Expenses,Utilities,,
Truck,Fixed Assets,Vehicles,,"13,495.00"
Truck:Depreciation,Fixed Assets,Accumulated Depreciation,,
Truck:Original Cost,Fixed Assets,Vehicles,,"13,495.00"
Billable Expense Income,Income,Service/Fee Income,,
Design income,Income,Other Primary Income,,
Discounts given,Income,Discounts/Refunds Given,,
Fees Billed,Income,Service/Fee Income,,
Landscaping Services,Income,Other Primary Income,,
Landscaping Services:Job Materials,Income,Other Primary Income,,
Landscaping Services:Job Materials:Decks and Patios,Income,Other Primary Income,,
Landscaping Services:Job Materials:Fountains and Garden Lighting,Income,Other Primary Income,,
Landscaping Services:Job Materials:Plants and Soil,Income,Other Primary Income,,
Landscaping Services:Job Materials:Sprinklers and Drip Systems,Income,Other Primary Income,,
Landscaping Services:Labor,Income,Other Primary Income,,
Landscaping Services:Labor:Installation,Income,Other Primary Income,,
Landscaping Services:Labor:Maintenance and Repair,Income,Other Primary Income,,
Other Income,Income,Other Primary Income,,
Pest Control Services,Income,Other Primary Income,,
Refunds-Allowances,Income,Discounts/Refunds Given,,
Sales of Product Income,Income,Sales of Product Income,,
Services,Income,Service/Fee Income,,
Unapplied Cash Payment Income,Income,Unapplied Cash Payment Income,,
Uncategorized Income,Income,Service/Fee Income,,
Notes Payable,Long Term Liabilities,Other Long Term Liabilities,,"-25,000.00"
Inventory Asset,Other Current Assets,Inventory,,596.25
Prepaid Expenses,Other Current Assets,Prepaid Expenses,,
Uncategorized Asset,Other Current Assets,Other Current Assets,,
Undeposited Funds,Other Current Assets,Undeposited Funds,,"2,062.52"
Arizona Dept. of Revenue Payable,Other Current Liabilities,Sales Tax Payable,,0.00
Board of Equalization Payable,Other Current Liabilities,Sales Tax Payable,,-370.94
Loan Payable,Other Current Liabilities,Other Current Liabilities,,"-4,000.00"
Depreciation,Other Expense,Depreciation,,
Miscellaneous,Other Expense,Other Miscellaneous Expense,,
Penalties & Settlements,Other Expense,Penalties & Settlements,,
Interest Earned,Other Income,Interest Earned,,
Other Portfolio Income,Other Income,Other Miscellaneous Income,,
TOTAL,,,,"$15,137.46"



" Sunday, December 21, 2025 11:39 PM GMTZ",,,,
